city,total,first_,second_
adana,663552,378552,285000
adıyaman,147841,84755,63086
afyon,259726,146013,113713
ağrı,75568,49214,26354
amasya,164786,91317,73469
ankara,2227121,1266099,961022
antalya,969563,568717,400846
artvin,79126,42623,36503
aydın,540181,299464,240717
balıkesir,671736,370493,301243
bilecik,91441,51363,40078
bingöl,57116,33411,23705
bitlis,43261,25701,17560
bolu,141231,79052,62179
burdur,125850,70137,55713
bursa,1025097,593095,432002
çanakkale,302143,167492,134651
çankırı,83860,46286,37574
çorum,227754,128046,99708
denizli,395177,221271,173906
diyarbakır,253373,149094,104279
edirne,228734,128898,99836
elazığ,188088,107293,80795
erzincan,89398,51055,38343
erzurum,198443,112312,86131
eskişehir,401733,228211,173522
gaziantep,383723,223021,160702
giresun,230240,127135,103105
gümüşhane,44110,24821,19289
hakkari,25570,16525,9045
hatay,409384,241385,167999
isparta,204244,114039,90205
mersin,653206,369530,283676
istanbul,4531701,2662160,1869541
izmir,1871288,1053624,817664
kars,70638,40696,29942
kastamonu,185331,101362,83969
kayseri,467202,266137,201065
kırklareli,183678,103870,79808
kırşehir,101560,56971,44589
kocaeli,602593,346468,256125
konya,710117,399515,310602
kütahya,233441,131478,101963
malatya,276006,155626,120380
manisa,530854,299370,231484
kahramanmaraş,278746,158846,119900
mardin,99184,58445,40739
muğla,520253,297804,222449
muş,54218,31539,22679
nevşehir,109982,63244,46738
niğde,110872,62468,48404
ordu,346717,195885,150832
rize,144041,80719,63322
sakarya,344760,193544,151216
samsun,549725,310989,238736
siirt,36672,22159,14513
sinop,114843,63827,51016
sivas,229814,127580,102234
tekirdağ,383855,221964,161891
tokat,256888,143692,113196
trabzon,346989,192540,154449
tunceli,42383,24347,18036
şanlıurfa,210142,125907,84235
uşak,150048,86215,63833
van,170918,107761,63157
yozgat,151644,84159,67485
zonguldak,260440,146284,114156
aksaray,117174,67306,49868
bayburt,23355,13357,9998
karaman,91794,51513,40281
kırıkkale,111483,64662,46821
batman,91523,55321,36202
şırnak,47027,30361,16666
bartın,91143,51015,40128
ardahan,34114,19583,14531
iğdır,37701,22427,15274
yalova,123476,69526,53950
karabük,106812,60457,46355
kilis,33746,19722,14024
osmaniye,180248,101373,78875
düzce,137037,76959,60078
